,timestamp_start,start_x,start_y,start_z,timestamp_end,end_x,end_y,end_z,target_size
1,2024-12-25 14:36:22.262382,0.0,-5.143516556418884e-17,-0.28,2024-12-25 14:36:25.279687,0.0,0.14000000000000004,0.24248711305964282,0.056666666666666664
2,2024-12-25 14:36:33.138207,0.0,0.14000000000000004,0.24248711305964282,,0.0,-0.28,3.4290110376125894e-17,0.07999999999999999
3,2024-12-25 14:36:44.692439,0.0,-0.28,3.4290110376125894e-17,,0.0,0.13000000000000003,0.22516660498395405,0.07999999999999999
4,2024-12-25 14:36:56.153412,0.0,0.13000000000000003,0.22516660498395405,,0.0,-0.2598076211353316,0.14999999999999997,0.01
5,2024-12-25 14:37:07.692986,0.0,-0.2598076211353316,0.14999999999999997,2024-12-25 14:37:13.278885,0.0,-0.010000000000000009,-0.01732050807568877,0.07999999999999999
6,2024-12-25 14:37:19.106420,0.0,-0.010000000000000009,-0.01732050807568877,,0.0,0.13000000000000003,-0.22516660498395405,0.07999999999999999
7,2024-12-25 14:37:30.613469,0.0,0.13000000000000003,-0.22516660498395405,,0.0,0.07000000000000002,0.12124355652982141,0.10333333333333332
8,2024-12-25 14:37:42.033474,0.0,0.07000000000000002,0.12124355652982141,,0.0,-0.28,3.4290110376125894e-17,0.12666666666666665
9,2024-12-25 14:37:53.579159,0.0,-0.28,3.4290110376125894e-17,2024-12-25 14:38:02.359237,0.0,0.1039230484541326,-0.06000000000000005,0.12666666666666665
10,2024-12-25 14:38:05.048599,0.0,0.1039230484541326,-0.06000000000000005,,0.0,-0.24248711305964285,0.13999999999999999,0.01
